,car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
74,Porsche Carrera GT - [2003],611,8000,435.0,0.0,3.9,5733.0,349.8,205.0,329.0,442.7,2003,2000s,Porsche,1.3801671560876398,315.17921440261904
75,Porsche 911 GT2 RS 997 - [2010],611,6500,516.0,2500.0,3.5,3600.0,219.6,205.0,329.0,445.9,2010,2010s,Porsche,1.3702623906705502,376.570212765957
76,Fisker Tramonto 5.4 V8 Performance Plus - [2005],610,5800,650.0,2200.0,3.6,5439.0,331.9,202.0,325.0,319.8,2005,2000s,Fisker,1.9074421513445903,340.770491803279
77,Mercedes G Class G65 AMG - [2012],604,4300,738.0,2300.0,0.0,5980.0,364.9,143.0,230.0,234.1,2012,2010s,Mercedes,2.58009397693293,286.03609271523203
78,Mercedes SL Class 65 AMG V12 R230 - [2008],604,4800,738.0,2000.0,4.1,5980.0,364.9,155.0,249.0,284.9,2008,2000s,Mercedes,2.12004212004212,348.106291390728
79,Mercedes SL Class 65 AMG V12 R230 - [2004],604,4800,738.0,2000.0,3.9,5980.0,364.9,155.0,249.0,286.2,2004,2000s,Mercedes,2.11041229909154,349.694701986755
80,Maybach 57 S 6.0 V12 - [2005],603,4800,737.0,2000.0,0.0,5980.0,364.9,165.0,265.0,220.4,2005,2000s,Maybach,2.7359346642468196,269.377777777778
81,Bentley Continental GTC Speed - [2009],602,6000,553.0,1750.0,4.5,5998.0,366.0,200.0,321.0,242.2,2009,2000s,Bentley,2.48554913294798,222.486046511628
82,Bentley Continental Flying Spur Speed 6.0 W12 - [2008],602,6000,553.0,1750.0,4.5,5998.0,366.0,200.0,321.0,243.2,2008,2000s,Bentley,2.47532894736842,223.404651162791
83,Lamborghini Huracan LP 610-4 - [2014],602,8250,413.0,6500.0,3.1,5204.0,317.5,202.0,325.0,423.3,2014,2010s,Lamborghini,1.4221592251358401,290.403488372093
84,Aston-Martin Vanquish 5.9 V12 RS - [2009],600,6250,509.0,5000.0,4.0,5938.0,362.3,200.0,321.0,375.0,2009,2000s,Aston-Martin,1.6,318.125
85,Aston-Martin Vantage 600 - [1998],600,6700,600.0,4400.0,4.3,5341.0,325.9,200.0,321.0,304.5,1998,1990s,Aston-Martin,1.97044334975369,304.5
86,Bentley Continental GT Speed 2d Auto - [2007],600,6000,553.0,1750.0,4.3,5998.0,366.0,202.0,325.0,255.3,2007,2000s,Bentley,2.35017626321974,235.3015
87,Bentley Continental GTZ Zagato 6.0 W12 2d - [2008],600,6000,553.0,1750.0,4.5,5998.0,366.0,203.0,326.0,266.6,2008,2000s,Bentley,2.25056264066016,245.716333333333
88,Dodge Viper SRT10 ACR - [2007],600,6100,560.0,5000.0,3.8,8382.0,511.5,202.0,325.0,386.5,2007,2000s,Dodge,1.5523932729624799,360.73333333333295
89,Porsche 918 Spyder 4.6 V8 - [2013],600,8600,391.0,6600.0,2.8,4593.0,280.2,211.0,339.0,365.8,2013,2010s,Porsche,1.64024056861673,238.379666666667
90,Ferrari 458 Speciale 4.5 V8 - [2013],597,9000,398.0,6000.0,3.0,4497.0,274.4,210.0,337.0,462.7,2013,2010s,Ferrari,1.29025286362654,308.466666666667
91,Pagani Zonda F - [2005],594,6150,575.0,4000.0,3.6,7291.0,444.9,214.0,344.0,482.9,2005,2000s,Pagani,1.2300683371298402,467.453703703704
92,Bugatti EB110 SuperSport - [1992],592,8250,470.0,4000.0,3.4,3498.0,213.4,217.0,349.0,417.4,1992,1990s,Bugatti,1.41830378533781,331.381756756757
93,McLaren MP4-12C 3.8L V8 Twin Turbo - [2011],592,7000,443.0,3000.0,3.3,3799.0,231.8,205.0,329.0,412.8,2011,2010s,McLaren,1.4341085271317802,308.90270270270304
94,Mercedes SLS AMG GT 6.2 V8 - [2012],583,6800,479.0,4750.0,3.7,6208.0,378.8,199.0,320.0,359.8,2012,2010s,Mercedes,1.62034463590884,295.616123499142
95,Mercedes SLS AMG Roadster GT - [2012],583,6800,479.0,4750.0,3.7,6208.0,378.8,199.0,320.0,336.0,2012,2010s,Mercedes,1.7351190476190501,276.061749571183
96,Lamborghini Diablo GTR 6.0L V12 - [2001],582,7300,472.0,5500.0,3.4,5992.0,365.6,210.0,337.0,417.2,2001,2000s,Lamborghini,1.3950143815915599,338.34776632302396
97,Chevrolet Camaro ZL1 6.2L V8 - [2011],580,6100,556.0,3800.0,4.0,6162.0,376.0,184.0,296.0,305.2,2011,2010s,Chevrolet,1.90039318479685,292.57103448275905
98,Mercedes S Class 63 Coupe 4Matic - [2014],577,5500,664.0,2250.0,3.8,5461.0,333.2,155.0,249.0,250.3,2014,2010s,Mercedes,2.30523371953656,288.04020797227
99,Vauxhall-Opel VXR8 GTS 6.2 V8 - [2013],576,6150,550.0,3850.0,4.1,6162.0,376.0,155.0,249.0,306.2,2013,2010s,Vauxhall-Opel,1.88112344872632,292.378472222222
100,Caparo T1 3.5l V8 - [2007],575,10500,310.0,9000.0,2.5,3494.0,213.2,204.0,328.0,1045.4,2007,2000s,Caparo,0.5500286971494159,563.606956521739
101,Mercedes CLK DTM Cabriolet - [2006],574,6100,590.0,3500.0,3.9,5439.0,331.9,186.0,299.0,311.9,2006,2000s,Mercedes,1.8403334402051899,320.594076655052
102,Mercedes CLK DTM AMG 5.4 V8 - [2004],574,6100,590.0,3500.0,3.9,5439.0,331.9,199.0,320.0,328.3,2004,2000s,Mercedes,1.74840085287846,337.451219512195
103,Audi A6 RS6 5.0 TFSI V10 - [2008],572,6250,479.0,1500.0,4.6,4991.0,304.5,155.0,249.0,282.4,2008,2000s,Audi,2.02549575070822,236.48531468531502
104,Audi A6 RS6 Avant 5.0 V10 - [2007],572,6250,479.0,1500.0,4.4,4991.0,304.5,155.0,249.0,282.4,2007,2000s,Audi,2.02549575070822,236.48531468531502
105,Lamborghini Murcielago 6.2 V12 - [2001],571,7500,479.0,5400.0,3.6,6192.0,377.8,205.0,329.0,346.0,2001,2000s,Lamborghini,1.65028901734104,290.252189141856
106,BMW 5 Series M5 Competition Pack F10 - [2013],567,6000,502.0,1500.0,4.1,4395.0,268.2,155.0,249.0,291.5,2013,2010s,BMW,1.9451114922813002,258.082892416226
107,Aston-Martin Vanquish 5.9 V12 - [2012],565,6750,457.0,5500.0,4.0,5935.0,362.1,183.0,294.0,324.8,2012,2010s,Aston-Martin,1.7395320197044297,262.714336283186
108,Aston-Martin Vantage V12 S - [2013],565,6750,457.0,5750.0,3.7,5935.0,362.1,205.0,329.0,339.3,2013,2010s,Aston-Martin,1.6651930445033898,274.442654867257
109,Mercedes SLS 6.2 V8 AMG Coupe DCT-7 - [2009],563,6800,479.0,4750.0,3.9,6208.0,378.8,197.0,317.0,347.5,2009,2000s,Mercedes,1.62014388489209,295.652753108348
110,Lexus LFA Nurburgring - [2011],563,8700,354.0,6800.0,3.7,4805.0,293.2,202.0,325.0,380.4,2011,2010s,Lexus,1.48002103049422,239.185790408526
111,Rolls-Royce Ghost 6.6L V12 - [2009],563,5250,575.0,1500.0,4.7,6592.0,402.2,155.0,249.0,231.2,2009,2000s,Rolls-Royce,2.43512110726644,236.127886323268
112,Ferrari 458 4.5 V8 - [2009],562,9000,398.0,6000.0,3.4,4499.0,274.5,202.0,325.0,378.4,2009,2000s,Ferrari,1.48520084566596,267.977224199288
113,Lamborghini Gallardo LP570-4 Super Trofeo Stradale - [2011],562,8000,398.0,6500.0,3.3,5204.0,317.5,199.0,320.0,419.4,2011,2010s,Lamborghini,1.34000953743443,297.0128113879
114,Ferrari 458 Spider 4.5 V8 - [2011],562,9000,398.0,6000.0,3.3,4499.0,274.5,199.0,320.0,393.0,2011,2010s,Ferrari,1.43002544529262,278.316725978648
115,Lamborghini Gallardo LP570-4 Spyder Performante Edizione - [2013],562,8000,398.0,6500.0,3.8,5204.0,317.5,201.0,323.0,378.4,2013,2010s,Lamborghini,1.48520084566596,267.977224199288
116,Mercedes CLS Class 63 AMG 4Matic - [2013],557,5500,531.0,1750.0,3.6,5461.0,333.2,155.0,249.0,286.3,2013,2010s,Mercedes,1.94551170101292,272.935906642729
117,Cadillac CTS -V 6.2 V8 Auto - [2009],556,6100,551.0,3800.0,4.1,6162.0,376.0,175.0,281.0,285.7,2009,2000s,Cadillac,1.94609730486524,283.13075539568297
118,Mercedes SL Class 63 AMG Performance Package - [2012],556,5500,664.0,2250.0,4.1,5461.0,333.2,186.0,299.0,301.3,2012,2010s,Mercedes,1.8453368735479598,359.82589928057604
119,Pagani Zonda Roadster - [2003],555,5900,553.0,4050.0,3.8,7291.0,444.9,200.0,321.0,433.5,2003,2000s,Pagani,1.280276816609,431.937837837838
120,Bentley Continental GT 6.0 2d W12 - [2003],552,6100,479.0,1600.0,4.7,5998.0,366.0,198.0,318.0,231.4,2003,2000s,Bentley,2.38547968885048,200.798188405797
121,Bentley Continental GTC 6.0 W12 Cabrio - [2005],552,6100,479.0,1600.0,4.7,5998.0,366.0,195.0,313.0,221.2,2005,2000s,Bentley,2.49547920433996,191.947101449275
122,Lamborghini Gallardo LP560-4 - [2008],552,8000,398.0,6500.0,3.2,5204.0,317.5,202.0,325.0,368.0,2008,2000s,Lamborghini,1.5,265.33333333333303
123,BMW 5 Series M5 F10 - [2011],552,6000,502.0,1500.0,4.4,4395.0,268.2,155.0,249.0,283.8,2011,2010s,BMW,1.94503171247357,258.09347826087003
124,BMW 6 Series M6 4.4 V8 F13 - [2012],552,6000,502.0,1500.0,4.1,4395.0,268.2,155.0,249.0,286.7,2012,2010s,BMW,1.92535751656784,260.730797101449
125,Audi R8 Spyder GT 5.2L V10 - [2011],552,8000,398.0,6500.0,3.7,5204.0,317.5,197.0,317.0,321.8,2011,2010s,Audi,1.7153511497824698,232.02246376811598
126,Audi R8 GT 5.2L V10 - [2011],552,8000,398.0,6500.0,3.5,5204.0,317.5,199.0,320.0,361.9,2011,2010s,Audi,1.5252832274108898,260.935144927536
127,Audi A6 RS6 Avant 4.0 V8 Twin Turbo - [2012],552,5700,516.0,1750.0,3.7,3993.0,243.6,190.0,305.0,280.2,2012,2010s,Audi,1.9700214132762301,261.926086956522
128,BMW 6 Series M6 Gran Coupe 4.4 V8 - [2012],552,6000,502.0,1500.0,4.1,4395.0,268.2,155.0,249.0,283.0,2012,2010s,BMW,1.95053003533569,257.365942028986
129,BMW 6 Series M6 Cabriolet 4.4 V8 - [2012],552,6000,502.0,1500.0,4.2,4395.0,268.2,155.0,249.0,268.6,2012,2010s,BMW,2.0551005212211497,244.27028985507198
130,Audi A7 RS7 Sportback Twin Turbo - [2013],552,5700,516.0,1750.0,4.1,3993.0,243.6,155.0,249.0,276.0,2013,2010s,Audi,2.0,258.0
131,Porsche 911 Turbo S 991 - [2013],552,6500,553.0,2200.0,3.1,3800.0,231.8,198.0,318.0,328.5,2013,2010s,Porsche,1.68036529680365,329.095108695652
132,Bentley Continental Flying Spur 6.0 W12 - [2005],552,6100,479.0,1600.0,0.0,5998.0,366.0,194.0,312.0,223.0,2005,2000s,Bentley,2.47533632286996,193.509057971014
133,Ferrari California T 3.9 V8 Turbo - [2014],552,7500,557.0,4750.0,3.5,3855.0,235.2,196.0,315.0,339.6,2014,2010s,Ferrari,1.62544169611307,342.676086956522
134,Aston-Martin Vantage V8 550 - [1993],550,6500,549.0,4000.0,4.6,5340.0,325.8,191.0,307.0,286.4,1993,1990s,Aston-Martin,1.9203910614525102,285.87927272727296
135,Ford GT 5.4 V8 - [2003],550,6500,500.0,4500.0,3.8,5409.0,330.0,190.0,305.0,357.6,2003,2000s,Ford,1.5380313199105098,325.090909090909
136,Lamborghini Diablo 6.0 V12 - [2000],550,7100,457.0,5500.0,3.8,5992.0,365.6,200.0,321.0,338.4,2000,2000s,Lamborghini,1.62529550827423,281.179636363636
137,Saleen S7 7.0 V8 - [2000],550,5900,525.0,4000.0,3.3,6998.0,427.0,240.0,386.0,441.0,2000,2000s,Saleen,1.2471655328798201,420.954545454545
138,Nissan R390 3.5L V8 - [1997],550,6800,470.0,4400.0,3.8,3495.0,213.2,196.0,315.0,500.9,1997,1990s,Nissan,1.09802355759633,428.04181818181803
139,Ford Mustang GT 500 - [2010],550,6200,510.0,4500.0,4.1,5409.0,330.0,162.0,260.0,317.3,2010,2010s,Ford,1.73337535455405,294.223636363636
140,Mercedes CLS Class 63 AMG Shooting Brake PP - [2012],550,5250,590.0,2000.0,4.0,5461.0,333.2,155.0,249.0,281.3,2012,2010s,Mercedes,1.95520796302879,301.758181818182
141,Aston-Martin Rapide S 5.9 V12 - [2013],550,6750,457.0,5500.0,0.0,5935.0,362.1,190.0,305.0,276.3,2013,2010s,Aston-Martin,1.99058993847267,229.58018181818198
142,Mercedes E Class 63 AMG - [2013],550,5500,531.0,1750.0,4.1,5461.0,333.2,155.0,249.0,298.1,2013,2010s,Mercedes,1.8450184501845,287.802
143,Pagani Zonda C12 S 7.3 - [2002],547,5900,553.0,4050.0,3.7,7291.0,444.9,220.0,354.0,437.6,2002,2000s,Pagani,1.25,442.4
144,BMW X5 M Sport 4.4 V8 - [2009],547,6000,502.0,1500.0,4.7,4395.0,268.2,155.0,249.0,229.8,2009,2000s,BMW,2.3803307223672796,210.89506398537497
145,BMW X6 M 4.4 V8 Turbo E71 - [2013],547,6000,502.0,1500.0,4.5,4395.0,268.2,155.0,249.0,229.8,2013,2010s,BMW,2.3803307223672796,210.89506398537497
146,Maybach 62 5.5 V12 Auto - [2003],543,5250,664.0,3000.0,0.0,5513.0,336.4,155.0,249.0,195.3,2003,2000s,Maybach,2.78033794162826,238.81988950276198
